algorithm,valid_simulations,makespan_min,makespan_median,makespan_avg,makespan_std,time_avg_s
GA,50,437.28,521.22,523.20,37.52,14.03
dPSO,50,456.00,530.29,531.39,32.86,15.78
SBOA,50,432.36,523.56,529.37,35.47,27.38
dMShOA,50,461.67,532.47,533.59,34.93,15.79
