Instance,Algorithm,Run,Makespan,CPU_Time
2023-02-01_8Jobs,CINN,0,474.3833312988281,85.12688420000268
2023-02-01_8Jobs,GA,0,524.9333333333334,11.711178000001382
2023-02-01_8Jobs,dPSO,0,465.23333333333335,12.65613310000117
2023-02-01_8Jobs,SBOA,0,522.8833333333333,23.774833299998136
2023-02-01_8Jobs,dMShOA,0,492.33333333333337,12.63276549999864
2023-02-01_8Jobs,CINN,1,497.6000061035156,94.44011450000107
2023-02-01_8Jobs,GA,1,513.25,16.050676300001214
2023-02-01_8Jobs,dPSO,1,546.1666666666667,18.058285800001613
2023-02-01_8Jobs,SBOA,1,534.0833333333333,29.462018199999875
2023-02-01_8Jobs,dMShOA,1,534.0833333333333,15.803804799998034
2023-02-01_8Jobs,CINN,2,508.1666564941406,83.14738650000072
2023-02-01_8Jobs,GA,2,505.33333333333337,11.302233900001738
2023-02-01_8Jobs,dPSO,2,514.15,12.377775099997962
2023-02-01_8Jobs,SBOA,2,692.4166666666666,25.21226029999889
2023-02-01_8Jobs,dMShOA,2,541.3,13.487555600000633
2023-02-01_8Jobs,CINN,3,544.5999755859375,81.74666200000138
2023-02-01_8Jobs,GA,3,544.6,14.69703379999919
2023-02-01_8Jobs,dPSO,3,550.1,13.6670318999968
2023-02-01_8Jobs,SBOA,3,499.03333333333336,23.519521999998688
2023-02-01_8Jobs,dMShOA,3,505.33333333333337,13.240093300002627
2023-02-01_8Jobs,CINN,4,521.1666259765625,72.91570599999977
2023-02-01_8Jobs,GA,4,535.6500000000001,10.884760000000824
2023-02-01_8Jobs,dPSO,4,565.8666666666667,12.075290400000085
2023-02-01_8Jobs,SBOA,4,543.7,22.22497789999761
2023-02-01_8Jobs,dMShOA,4,544.6,13.206659300001775
2023-02-01_8Jobs,CINN,5,481.7833251953125,80.32826440000281
2023-02-01_8Jobs,GA,5,524.9333333333334,10.739691100003256
2023-02-01_8Jobs,dPSO,5,534.0833333333333,12.076619699997536
2023-02-01_8Jobs,SBOA,5,556.0166666666667,21.701273700000456
2023-02-01_8Jobs,dMShOA,5,544.6,12.871103499997844
2023-02-01_8Jobs,CINN,6,513.7333374023438,75.9723563999978
2023-02-01_8Jobs,GA,6,573.2333333333333,10.867483699999866
