,RPD_Avg_Final,RPD_Avg_Final,RPD_Avg_Final,RPD_Avg_Final,RPD_Avg_Final,RPD_Best,RPD_Best,RPD_Best,RPD_Best,RPD_Best,Time_Avg,Time_Avg,Time_Avg,Time_Avg,Time_Avg,BKS (min)
Algorithm,CINN,GA,dPSO,SBOA,dMShOA,CINN,GA,dPSO,SBOA,dMShOA,CINN,GA,dPSO,SBOA,dMShOA,
Instance,,,,,,,,,,,,,,,,
2023-02-01_16Jobs,6.46,30.08 (+),42.85 (+),34.23 (+),30.51 (+),0.0,14.888699630239834,11.146907917499973,14.186597432485106,17.03011133339171,77.89725675999968,19.805248296666345,20.40211019333304,36.73846830666638,21.195630053333176,807.1
2023-02-01_8Jobs,7.90,11.94 (+),14.00 (+),17.00 (+),14.79 (+),1.9667545960080481,6.917675718277567,0.0,7.265171598481052,5.825034033101674,76.94499666666682,11.362711410000218,12.460337333333397,22.479278843333184,12.927291183333121,465.2
2023-06-14_16Jobs,8.02,33.19 (+),39.20 (+),39.88 (+),34.29 (+),0.0,15.492184277472232,5.78263927513807,15.84556787331429,16.491863005816878,78.75978279000034,19.657328516666166,20.39948052000036,36.48297743333351,21.295042143333678,882.0
2023-06-14_8Jobs,9.95,13.00 (+),17.28 (+),16.76 (+),16.96 (+),0.0,0.0,9.372971125918339,1.8759610456176272,5.726977618315407,74.82116357000025,10.863366219999929,12.124250529999578,21.808633183332738,12.648786116667058,487.8
2023-10-13_16Jobs,6.60,25.94 (+),41.00 (+),34.62 (+),32.67 (+),0.0,4.400052499349017,12.95953144097893,22.374576327689162,12.885051369867002,74.93791864333421,18.855671239999356,19.380917693333323,34.539593726666745,20.039214899999934,872.7
2023-10-13_8Jobs,0.14,1.12 (+),2.90 (+),1.54 (+),2.10 (+),0.0,2.7386144398505366e-06,2.7386144398505366e-06,2.7386144398505366e-06,2.7386144398505366e-06,80.90172959333334,10.623938723333655,11.921089989999988,21.21839346333339,12.467364356667288,594.3
