job_id,stage_id,pinn_start,dur_medical,dur_occupancy,global_machine_id,resource_name,real_start,surgery_start,real_end,machine_end
15,0,0.0,16.6,66.6,1,PRE-1,0.0,30.0,46.6,66.6
1,0,0.0,29.55,79.55,2,PRE-2,0.0,30.0,59.55,79.55
2,0,0.0,27.25,77.25,4,PRE-4,0.0,30.0,57.25,77.25
7,0,0.0,41.233334,91.23334,3,PRE-3,0.0,30.0,71.23334,91.23334
10,0,66.5999984741211,29.1,79.1,1,PRE-1,66.5999984741211,96.5999984741211,125.7,145.7
3,0,79.55000305175781,57.6,107.6,2,PRE-2,79.55000305175781,109.55000305175781,167.15,187.15
9,0,77.25,35.95,85.95,4,PRE-4,77.25,107.25,143.2,163.2
8,0,145.6999969482422,22.983334,72.98334,1,PRE-1,145.6999969482422,175.6999969482422,198.68333,218.68333
14,0,91.23333740234375,78.316666,128.31667,3,PRE-3,91.23333740234375,121.23333740234375,199.55,219.55
0,0,187.14999389648438,82.166664,132.16666,2,PRE-2,187.14999389648438,217.14999389648438,299.31665,319.31665
6,0,163.1999969482422,15.333333,65.333336,4,PRE-4,163.1999969482422,193.1999969482422,208.53333,228.53333
4,0,219.5500030517578,50.383335,100.38333,3,PRE-3,219.5500030517578,249.5500030517578,299.93335,319.93335
12,0,228.5333251953125,73.21667,123.21667,4,PRE-4,228.5333251953125,258.5333251953125,331.75,351.75
13,0,319.933349609375,40.233334,90.23334,3,PRE-3,319.933349609375,349.933349609375,390.1667,410.1667
5,0,218.68333435058594,73.7,123.7,1,PRE-1,218.68333435058594,248.68333435058594,322.38333,342.38333
11,0,351.75,20.683332,70.683334,4,PRE-4,351.75,381.75,402.43332,422.43332
15,1,16.599998474121094,7.0,57.0,7,QX-3,16.599998474121094,46.599998474121094,53.6,73.6
1,1,29.549999237060547,44.0,94.0,5,QX-1,29.549999237060547,59.54999923706055,103.55,123.55
2,1,27.25,14.0,64.0,8,QX-4,27.25,57.25,71.25,91.25
7,1,73.5999984741211,14.0,64.0,7,QX-3,73.5999984741211,103.5999984741211,117.6,137.6
10,1,95.69999694824219,38.0,88.0,6,QX-2,95.69999694824219,125.69999694824219,163.7,183.7
3,1,137.14999389648438,70.0,120.0,5,QX-1,137.14999389648438,167.14999389648438,237.15,257.15
9,1,113.19999694824219,25.0,75.0,8,QX-4,113.19999694824219,143.1999969482422,168.2,188.2
8,1,168.68333435058594,21.0,71.0,7,QX-3,168.68333435058594,198.68333435058594,219.68333,239.68333
6,1,188.1999969482422,80.0,130.0,8,QX-4,188.1999969482422,218.1999969482422,298.2,318.2
14,1,239.68333435058594,52.0,102.0,7,QX-3,239.68333435058594,269.683349609375,321.68335,341.68335
0,1,269.316650390625,60.0,110.0,5,QX-1,269.316650390625,299.316650390625,359.31665,379.31665
4,1,341.683349609375,39.0,89.0,7,QX-3,341.683349609375,371.683349609375,410.68335,430.68335
12,1,318.20001220703125,75.0,125.0,8,QX-4,318.20001220703125,348.20001220703125,423.2,443.2
13,1,430.683349609375,58.0,108.0,7,QX-3,430.683349609375,460.683349609375,518.68335,538.68335
5,1,292.3833312988281,145.0,195.0,6,QX-2,292.3833312988281,322.3833312988281,467.38333,487.38333
11,1,443.20001220703125,57.0,107.0,8,QX-4,443.20001220703125,473.20001220703125,530.2,550.2
15,2,23.599998474121094,95.0,145.0,11,POST-3,23.599998474121094,53.599998474121094,148.6,168.6
1,2,73.55000305175781,118.0,168.0,9,POST-1,73.55000305175781,103.55000305175781,221.55,241.55
2,2,41.25,95.0,145.0,12,POST-4,41.25,71.25,166.25,186.25
7,2,87.5999984741211,95.0,145.0,10,POST-2,87.5999984741211,117.5999984741211,212.6,232.6
10,2,168.60000610351562,93.0,143.0,11,POST-3,168.60000610351562,198.60000610351562,291.6,311.6
9,2,186.25,150.0,200.0,12,POST-4,186.25,216.25,366.25,386.25
8,2,232.60000610351562,115.0,165.0,10,POST-2,232.60000610351562,262.6000061035156,377.6,397.6
3,2,241.5500030517578,152.0,202.0,9,POST-1,241.5500030517578,271.54998779296875,423.55,443.55
14,2,311.6000061035156,180.0,230.0,11,POST-3,311.6000061035156,341.6000061035156,521.6,541.6
0,2,443.54998779296875,114.0,164.0,9,POST-1,443.54998779296875,473.54998779296875,587.55,607.55
6,2,386.25,145.0,195.0,12,POST-4,386.25,416.25,561.25,581.25
4,2,397.6000061035156,120.0,170.0,10,POST-2,397.6000061035156,427.6000061035156,547.6,567.6
12,2,541.5999755859375,200.0,250.0,11,POST-3,541.5999755859375,571.5999755859375,771.6,791.6
13,2,567.5999755859375,167.0,217.0,10,POST-2,567.5999755859375,597.5999755859375,764.6,784.6
11,2,581.25,95.0,145.0,12,POST-4,581.25,611.25,706.25,726.25
5,2,607.5499877929688,165.0,215.0,9,POST-1,607.5499877929688,637.5499877929688,802.55,822.55
